,tavg,tmin,tmax,prcp,wspd,tsun,OrganizationalUnitID,Year,Month,latitude,longitude,city
0,17.8,14.7,20.8,2.0,14.7,14700.0,16.0,2020.0,1.0,28.1272,-15.4314,Las Palmas
1,20.1,16.9,23.4,1.0,19.5,15300.0,16.0,2020.0,2.0,28.1272,-15.4314,Las Palmas
2,18.8,15.8,21.9,16.0,,14880.0,16.0,2020.0,3.0,28.1272,-15.4314,Las Palmas
3,10.1,5.1,16.2,50.8,,,18.0,2017.0,1.0,37.9861,-1.1303,Murcia
4,13.3,8.2,19.4,3.8,,,18.0,2017.0,2.0,37.9861,-1.1303,Murcia
5,15.3,8.6,22.8,48.2,,,18.0,2017.0,3.0,37.9861,-1.1303,Murcia
6,17.1,11.1,24.2,9.8,,,18.0,2017.0,4.0,37.9861,-1.1303,Murcia
7,21.7,15.1,28.9,,,,18.0,2017.0,5.0,37.9861,-1.1303,Murcia
8,26.8,20.2,34.3,0.6,,,18.0,2017.0,6.0,37.9861,-1.1303,Murcia
9,28.1,22.0,35.1,0.6,,,18.0,2017.0,7.0,37.9861,-1.1303,Murcia
10,27.7,22.7,34.3,44.0,,,18.0,2017.0,8.0,37.9861,-1.1303,Murcia
11,24.4,19.0,31.5,0.9,,,18.0,2017.0,9.0,37.9861,-1.1303,Murcia
12,21.2,15.9,28.5,11.0,,,18.0,2017.0,10.0,37.9861,-1.1303,Murcia
13,14.6,8.6,21.7,5.0,,,18.0,2017.0,11.0,37.9861,-1.1303,Murcia
14,11.1,4.9,18.5,3.2,,,18.0,2017.0,12.0,37.9861,-1.1303,Murcia
15,12.1,6.7,18.7,56.5,,,18.0,2018.0,1.0,37.9861,-1.1303,Murcia
16,11.0,5.7,17.1,11.2,,,18.0,2018.0,2.0,37.9861,-1.1303,Murcia
17,15.2,9.4,21.1,12.6,,,18.0,2018.0,3.0,37.9861,-1.1303,Murcia
18,17.5,11.8,23.7,14.6,,,18.0,2018.0,4.0,37.9861,-1.1303,Murcia
19,20.5,14.6,27.0,16.2,,,18.0,2018.0,5.0,37.9861,-1.1303,Murcia
20,24.7,18.7,31.2,22.2,,,18.0,2018.0,6.0,37.9861,-1.1303,Murcia
21,28.6,22.3,35.7,,,,18.0,2018.0,7.0,37.9861,-1.1303,Murcia
22,28.4,23.2,35.1,9.6,8.7,,18.0,2018.0,8.0,37.9861,-1.1303,Murcia
23,25.5,21.0,31.6,34.4,7.6,,18.0,2018.0,9.0,37.9861,-1.1303,Murcia
24,19.4,14.9,25.3,56.2,7.1,,18.0,2018.0,10.0,37.9861,-1.1303,Murcia
25,14.5,9.7,20.2,66.8,6.8,,18.0,2018.0,11.0,37.9861,-1.1303,Murcia
26,12.4,6.8,19.9,6.0,6.4,,18.0,2018.0,12.0,37.9861,-1.1303,Murcia
27,11.4,4.6,18.2,1.0,8.1,13620.0,18.0,2019.0,1.0,37.9861,-1.1303,Murcia
28,13.2,6.3,20.1,,8.0,14040.0,18.0,2019.0,2.0,37.9861,-1.1303,Murcia
29,15.1,8.0,22.2,18.0,,16440.0,18.0,2019.0,3.0,37.9861,-1.1303,Murcia
30,16.5,10.8,22.2,123.0,9.1,15060.0,18.0,2019.0,4.0,37.9861,-1.1303,Murcia
31,21.1,14.6,27.6,5.0,9.2,20280.0,18.0,2019.0,5.0,37.9861,-1.1303,Murcia
32,25.0,18.3,31.8,1.0,10.0,22860.0,18.0,2019.0,6.0,37.9861,-1.1303,Murcia
33,29.0,22.6,35.4,,10.3,21840.0,18.0,2019.0,7.0,37.9861,-1.1303,Murcia
34,28.8,22.5,35.1,38.0,8.9,20760.0,18.0,2019.0,8.0,37.9861,-1.1303,Murcia
35,25.0,20.1,30.0,218.0,8.0,14880.0,18.0,2019.0,9.0,37.9861,-1.1303,Murcia
36,21.0,15.0,27.1,22.0,6.5,15060.0,18.0,2019.0,10.0,37.9861,-1.1303,Murcia
37,15.0,9.3,20.7,14.0,9.8,13260.0,18.0,2019.0,11.0,37.9861,-1.1303,Murcia
38,13.6,8.2,18.9,37.0,7.3,9720.0,18.0,2019.0,12.0,37.9861,-1.1303,Murcia
39,11.3,5.3,17.3,71.0,6.1,11880.0,18.0,2020.0,1.0,37.9861,-1.1303,Murcia
40,15.2,8.1,22.3,1.0,6.3,14040.0,18.0,2020.0,2.0,37.9861,-1.1303,Murcia
41,15.5,10.0,21.1,122.0,,12300.0,18.0,2020.0,3.0,37.9861,-1.1303,Murcia
42,16.9,11.7,22.1,29.0,7.9,13020.0,18.0,2020.0,4.0,37.9861,-1.1303,Murcia
43,22.1,15.6,28.6,25.0,8.8,20940.0,18.0,2020.0,5.0,37.9861,-1.1303,Murcia
44,25.3,18.5,32.0,11.0,9.3,21300.0,18.0,2020.0,6.0,37.9861,-1.1303,Murcia
45,28.4,21.9,34.8,3.0,10.1,23100.0,18.0,2020.0,7.0,37.9861,-1.1303,Murcia
46,29.1,22.2,36.0,1.0,9.1,21600.0,18.0,2020.0,8.0,37.9861,-1.1303,Murcia
47,24.8,18.7,31.0,6.0,8.1,17580.0,18.0,2020.0,9.0,37.9861,-1.1303,Murcia
48,19.4,12.4,26.5,2.0,7.4,16560.0,18.0,2020.0,10.0,37.9861,-1.1303,Murcia
49,17.0,11.6,22.4,34.0,5.8,12840.0,18.0,2020.0,11.0,37.9861,-1.1303,Murcia
50,12.4,6.2,18.7,1.0,8.2,13080.0,18.0,2020.0,12.0,37.9861,-1.1303,Murcia
51,11.0,5.3,16.9,46.0,8.3,10920.0,18.0,2021.0,1.0,37.9861,-1.1303,Murcia
52,14.7,9.2,20.3,0.5,7.9,10020.0,18.0,2021.0,2.0,37.9861,-1.1303,Murcia
53,14.3,8.6,19.9,56.0,,13680.0,18.0,2021.0,3.0,37.9861,-1.1303,Murcia
54,16.8,11.9,21.6,59.0,8.3,11820.0,18.0,2021.0,4.0,37.9861,-1.1303,Murcia
55,21.1,14.9,27.4,65.0,9.3,19740.0,18.0,2021.0,5.0,37.9861,-1.1303,Murcia
56,24.7,18.8,30.6,31.0,9.7,19980.0,18.0,2021.0,6.0,37.9861,-1.1303,Murcia
57,28.5,21.6,35.5,1.0,9.9,22800.0,18.0,2021.0,7.0,37.9861,-1.1303,Murcia
58,29.1,23.0,35.3,0.5,9.5,18780.0,18.0,2021.0,8.0,37.9861,-1.1303,Murcia
59,26.2,20.3,32.1,24.0,7.8,15900.0,18.0,2021.0,9.0,37.9861,-1.1303,Murcia
60,20.9,15.3,26.6,27.0,5.9,13980.0,18.0,2021.0,10.0,37.9861,-1.1303,Murcia
61,14.1,9.2,19.9,27.2,8.5,,18.0,2021.0,11.0,37.9861,-1.1303,Murcia
62,13.2,8.3,19.1,6.0,7.3,,18.0,2021.0,12.0,37.9861,-1.1303,Murcia
63,10.4,4.7,17.4,13.8,6.8,,18.0,2022.0,1.0,37.9861,-1.1303,Murcia
64,13.1,7.4,20.2,2.4,7.1,,18.0,2022.0,2.0,37.9861,-1.1303,Murcia
65,13.7,10.4,17.7,187.0,,,18.0,2022.0,3.0,37.9861,-1.1303,Murcia
66,15.4,10.4,21.0,96.9,9.4,,18.0,2022.0,4.0,37.9861,-1.1303,Murcia
67,,,,,,,18.0,2022.0,5.0,37.9861,-1.1303,Murcia
68,,,,,,,18.0,2022.0,6.0,37.9861,-1.1303,Murcia
69,,,,,,,18.0,2022.0,7.0,37.9861,-1.1303,Murcia
70,,,,,,,18.0,2022.0,8.0,37.9861,-1.1303,Murcia
71,,,,,,,18.0,2022.0,9.0,37.9861,-1.1303,Murcia
72,,,,,,,18.0,2022.0,10.0,37.9861,-1.1303,Murcia
73,,,,,,,18.0,2022.0,11.0,37.9861,-1.1303,Murcia
74,,,,,,,18.0,2022.0,12.0,37.9861,-1.1303,Murcia
75,11.9,9.5,14.6,292.0,,,55.0,2016.0,1.0,43.3713,-8.4188,A Coruña
76,10.9,8.7,13.3,201.6,,,55.0,2016.0,2.0,43.3713,-8.4188,A Coruña
77,10.8,8.2,13.9,196.5,,,55.0,2016.0,3.0,43.3713,-8.4188,A Coruña
78,11.7,9.1,15.0,122.4,,,55.0,2016.0,4.0,43.3713,-8.4188,A Coruña
79,14.8,12.1,18.4,89.8,,,55.0,2016.0,5.0,43.3713,-8.4188,A Coruña
80,17.2,14.7,20.3,53.8,,,55.0,2016.0,6.0,43.3713,-8.4188,A Coruña
81,19.3,16.6,23.0,0.7,,,55.0,2016.0,7.0,43.3713,-8.4188,A Coruña
82,19.6,16.6,23.5,10.4,,,55.0,2016.0,8.0,43.3713,-8.4188,A Coruña
83,18.1,15.3,22.0,83.6,,,55.0,2016.0,9.0,43.3713,-8.4188,A Coruña
84,16.0,13.1,20.2,45.4,6.2,,55.0,2016.0,10.0,43.3713,-8.4188,A Coruña
85,12.7,10.0,16.0,114.7,,,55.0,2016.0,11.0,43.3713,-8.4188,A Coruña
86,12.6,9.8,16.2,23.2,7.8,,55.0,2016.0,12.0,43.3713,-8.4188,A Coruña
87,10.0,7.4,13.3,49.8,8.9,,55.0,2017.0,1.0,43.3713,-8.4188,A Coruña
88,11.5,8.9,14.6,125.7,12.4,,55.0,2017.0,2.0,43.3713,-8.4188,A Coruña
89,12.4,9.6,16.3,130.4,,,55.0,2017.0,3.0,43.3713,-8.4188,A Coruña
90,13.8,10.1,18.5,15.4,9.5,,55.0,2017.0,4.0,43.3713,-8.4188,A Coruña
91,16.8,13.7,21.2,60.8,9.6,,55.0,2017.0,5.0,43.3713,-8.4188,A Coruña
